,patterns,count
167,"(3, 3, -2, 2, 3, 1)",9
168,"(2, 1, -1, 3, 3, 1)",13
169,"(3, 2, -2, 2, 3, 1)",4
170,"(2, 1, -1, 3, 3, 2)",3
171,"(3, 3, -1, 3, 3, 1)",9
172,"(3, 2, -2, 3, 3, 2)",1
173,"(3, 2, -1, 3, 3, 1)",15
174,"(3, 1, -1, 3, 3, 3)",4
175,"(2, 2, -1, 3, 3, 1)",5
176,"(3, 3, -2, 3, 3, 1)",3
177,"(2, 2, -2, 2, 3, 1)",2
178,"(3, 2, -1, 3, 3, 2)",10
179,"(3, 1, -1, 3, 3, 2)",6
180,"(3, 1, -1, 3, 2, 2)",3
181,"(3, 1, -1, 3, 3, 1)",1
182,"(3, 3, -2, 2, 3, 1)",6
183,"(2, 2, -2, 2, 3, 2)",1
184,"(2, 1, -2, 2, 3, 2)",1
185,"(2, 1, -1, 3, 3, 1)",12
186,"(3, 2, -2, 2, 3, 1)",6
187,"(3, 1, -1, 3, 2, 1)",1
188,"(3, 2, -1, 3, 2, 1)",1
189,"(2, 1, -1, 3, 3, 2)",4
190,"(3, 3, -1, 3, 3, 1)",11
191,"(3, 2, -2, 3, 3, 2)",2
192,"(2, 2, -1, 3, 3, 1)",5
193,"(3, 2, -1, 3, 3, 1)",15
194,"(3, 1, -1, 3, 3, 3)",9
195,"(2, 2, -2, 3, 3, 1)",1
196,"(3, 2, -1, 3, 2, 2)",1
197,"(3, 3, -2, 3, 3, 1)",1
198,"(2, 1, -2, 2, 3, 2)",1
199,"(3, 2, -2, 2, 3, 2)",2
200,"(3, 1, -1, 3, 2, 2)",1
201,"(3, 2, -1, 3, 3, 3)",2
202,"(2, 1, -1, 3, 3, 2)",6
203,"(3, 3, -1, 3, 3, 1)",10
204,"(2, 2, -2, 3, 3, 1)",2
205,"(3, 1, -1, 3, 2, 1)",1
206,"(3, 2, -1, 3, 3, 2)",5
207,"(3, 1, -2, 3, 3, 2)",1
208,"(3, 1, -1, 3, 3, 1)",7
209,"(3, 3, -2, 2, 3, 1)",4
210,"(2, 1, -1, 3, 3, 1)",10
211,"(3, 2, -1, 3, 3, 1)",12
212,"(3, 3, -2, 3, 3, 1)",2
213,"(2, 2, -2, 2, 3, 1)",2
214,"(3, 1, -1, 3, 3, 2)",9
215,"(3, 2, -1, 3, 2, 1)",7
216,"(2, 2, -1, 3, 3, 1)",3
217,"(3, 2, -2, 2, 3, 1)",3
218,"(3, 1, -1, 3, 3, 3)",4
219,"(3, 2, -1, 3, 2, 2)",1
220,"(3, 2, -1, 3, 3, 2)",3
221,"(3, 1, -1, 3, 3, 2)",14
222,"(3, 2, -2, 3, 3, 1)",1
223,"(3, 2, -2, 2, 3, 2)",1
224,"(3, 2, -1, 3, 2, 1)",4
225,"(3, 2, -1, 3, 3, 3)",2
226,"(3, 1, -1, 3, 2, 2)",1
227,"(3, 3, -2, 2, 3, 1)",5
228,"(2, 1, -1, 3, 3, 1)",13
229,"(3, 2, -2, 2, 3, 1)",5
230,"(2, 1, -1, 3, 3, 2)",5
231,"(2, 2, -2, 3, 3, 1)",2
232,"(3, 2, -1, 3, 3, 1)",16
233,"(3, 1, -1, 3, 3, 3)",2
234,"(2, 2, -1, 3, 3, 1)",3
235,"(3, 3, -1, 3, 3, 1)",10
236,"(2, 2, -2, 2, 3, 1)",3
237,"(3, 2, -1, 3, 3, 2)",6
238,"(3, 1, -1, 3, 3, 2)",11
239,"(3, 2, -2, 2, 3, 2)",2
240,"(3, 2, -1, 3, 2, 1)",1
241,"(3, 1, -1, 3, 3, 1)",6
242,"(3, 3, -2, 2, 3, 1)",7
243,"(2, 2, -2, 2, 3, 2)",1
244,"(2, 1, -1, 3, 3, 1)",7
245,"(3, 2, -2, 2, 3, 1)",5
246,"(3, 3, -2, 2, 3, 2)",2
247,"(2, 1, -1, 3, 3, 2)",7
248,"(3, 3, -2, 3, 3, 1)",3
249,"(3, 2, -2, 3, 3, 1)",3
250,"(3, 2, -1, 3, 3, 1)",15
251,"(3, 1, -1, 3, 3, 3)",5
252,"(2, 2, -1, 3, 3, 1)",3
253,"(3, 3, -1, 3, 3, 1)",12
254,"(2, 2, -2, 2, 3, 1)",1
255,"(3, 2, -1, 3, 3, 2)",6
256,"(3, 1, -1, 3, 3, 2)",16
257,"(2, 1, -2, 2, 3, 1)",1
258,"(3, 2, -2, 2, 3, 2)",1
259,"(3, 1, -1, 3, 2, 2)",1
260,"(3, 2, -1, 3, 3, 3)",1
261,"(3, 1, -1, 3, 3, 1)",1
262,"(3, 3, -2, 2, 3, 1)",5
263,"(2, 1, -1, 3, 3, 1)",11
264,"(3, 2, -2, 2, 3, 1)",7
265,"(3, 2, -1, 3, 2, 1)",5
266,"(2, 1, -1, 3, 3, 2)",1
267,"(3, 2, -1, 3, 3, 1)",11
268,"(3, 2, -2, 3, 3, 1)",2
269,"(3, 1, -1, 3, 3, 3)",5
270,"(2, 2, -1, 3, 3, 1)",5
271,"(2, 2, -2, 3, 3, 1)",3
272,"(3, 1, -1, 3, 2, 1)",1
273,"(3, 3, -1, 3, 3, 1)",10
274,"(2, 2, -2, 2, 3, 1)",2
275,"(3, 2, -1, 3, 3, 2)",3
276,"(3, 1, -1, 3, 3, 2)",7
277,"(2, 1, -2, 2, 3, 1)",1
278,"(3, 2, -2, 2, 3, 2)",3
279,"(3, 2, -1, 3, 2, 1)",5
280,"(3, 1, -1, 3, 2, 2)",1
281,"(3, 1, -1, 3, 3, 1)",3
