	GAPD	GAPD&nad	GAPD&nad&g3p	GAPD&nad&g3p&pi	GAPD&nadh	GAPD&nadh&13dpg
40	4.99388945595e-08	5.77499503756e-05	2.05158115531e-09	1.59467268835e-07	1.98117689747e-06	7.79794060821e-06
41	4.60117626067e-08	5.78042512539e-05	1.68269527937e-09	9.64683197636e-07	1.82071619915e-06	5.80544733615e-06
42	4.05790859523e-08	5.86969203716e-05	1.05248827198e-09	6.84727180039e-07	2.11067718897e-06	4.18725347345e-06
43	5.65926459203e-08	5.5710542506e-05	2.01093048046e-09	6.43350672145e-07	2.80373563255e-06	6.61745438217e-06
44	3.98785083909e-08	5.87498145468e-05	1.95555321085e-09	5.72863362707e-08	1.21265029234e-06	5.5923913595e-06
45	6.32927905727e-08	5.62851954988e-05	1.61912144517e-09	5.45086050903e-07	2.74448014937e-06	5.34371545368e-06
46	5.87956194057e-08	5.42995307398e-05	1.14385019469e-09	7.48290489238e-07	2.83746079473e-06	4.65520774905e-06
47	5.22923525731e-08	5.61948116931e-05	1.23153911629e-09	7.50973199775e-07	1.89400348037e-06	4.80179653468e-06
48	4.53563566057e-08	5.46756399618e-05	2.07474681209e-09	9.15722379587e-07	2.4539018454e-06	8.52773821512e-06
49	4.76192114944e-08	5.8382046716e-05	1.21610980789e-09	3.40130285381e-07	1.81575008314e-06	6.04351230583e-06
50	5.49168480631e-08	5.49672265023e-05	1.68624417075e-09	1.97510546202e-07	3.42877869456e-06	7.47140239842e-06
51	3.70143391928e-08	5.61200103585e-05	1.96615545548e-09	5.48965451713e-07	1.38233641571e-06	7.47902853279e-06
52	4.40004664803e-08	5.7181046461e-05	1.17613715466e-09	2.20886732018e-06	2.21547447574e-06	4.43312070888e-06
53	4.19486727105e-08	5.55382403975e-05	1.95529911723e-09	2.6392168342e-07	1.84093345161e-06	6.90834159296e-06
54	4.86241914331e-08	5.75011259546e-05	1.39356326052e-09	6.04760455812e-07	1.8055073263e-06	5.20867871252e-06
55	3.56703662715e-08	5.76233793074e-05	1.39375369088e-09	5.63588887801e-07	1.97130282778e-06	4.62871820848e-06
56	3.84342408955e-08	5.74138005561e-05	1.85271703552e-09	1.79107646426e-06	2.18290815676e-06	4.39971921817e-06
57	4.34090547602e-08	5.6647517505e-05	2.35533454451e-09	3.73858330963e-07	1.69814467521e-06	7.72837349985e-06
58	3.55939596218e-08	5.58433716536e-05	1.43099112146e-09	1.58740927311e-06	2.32558087055e-06	6.64585864366e-06
59	5.20702031728e-08	5.76429709638e-05	1.19685356666e-09	5.85120348556e-07	1.85376726673e-06	5.26046991656e-06
60	5.47064787422e-08	5.8872175225e-05	1.51215493175e-09	4.87596169902e-07	1.56225442963e-06	6.03312401878e-06
61	5.84242050228e-08	5.75201472121e-05	9.55427018267e-10	7.9517139875e-07	1.41650066508e-06	4.75148615051e-06
62	4.30247097551e-08	5.71137620342e-05	1.61959995779e-09	3.36237467625e-08	1.58492799336e-06	5.35723316778e-06
63	5.43022839987e-08	5.8717343245e-05	1.66122520331e-09	1.53135876048e-07	1.10871365016e-06	7.9650557835e-06
64	4.53151306782e-08	5.68369431982e-05	2.15971823823e-09	1.40572281426e-06	1.80529394784e-06	6.65594608314e-06
65	4.38511826916e-08	5.64995940836e-05	2.48932722464e-09	3.16308899625e-07	2.75698100305e-06	6.26069258101e-06
66	5.01170963622e-08	5.72451893667e-05	2.16909503114e-09	2.92887456901e-07	2.15815880892e-06	5.7401409207e-06
67	3.68590331039e-08	5.60679927207e-05	2.96613510003e-09	1.12935218275e-06	1.80774118817e-06	6.60667807612e-06
68	4.24257396311e-08	5.66478494336e-05	3.90663146222e-09	4.4387280713e-07	2.07323190171e-06	7.60711839849e-06
69	3.36299704142e-08	5.77515732412e-05	2.19850135226e-09	5.98737503996e-07	1.37145013276e-06	6.44272194485e-06
70	4.63829155047e-08	5.69798836751e-05	2.04951834948e-09	1.0795339551e-06	3.04920083733e-06	5.77881556633e-06
71	4.57538652607e-08	5.77232257764e-05	1.37458210336e-09	5.17029859282e-07	2.70014740006e-06	5.93580676815e-06
72	3.86924693151e-08	5.80600689506e-05	2.10816231164e-09	4.51966452537e-08	2.05917371146e-06	7.02741435258e-06
73	4.30988233266e-08	5.69938627854e-05	2.01376970671e-09	6.91963723018e-07	1.72493772637e-06	6.55080527444e-06
74	5.83805117104e-08	5.55581376574e-05	1.70229297123e-09	2.16146364289e-06	2.21207999284e-06	6.19715110557e-06
75	4.4548728903e-08	5.68865870743e-05	2.31820449123e-09	3.07125771622e-07	1.34805002004e-06	7.732061504e-06
76	5.59508812848e-08	5.62468066169e-05	1.72076288472e-09	6.4224977671e-07	1.3819503173e-06	7.6450724805e-06
77	5.16791620004e-08	5.47672521394e-05	2.5624294628e-09	5.23120056393e-07	2.20484566519e-06	8.02721366278e-06
