	TALA2	TALA2&f6p	TALA2&mod	TALA2&mod&e4p	TALA2&mod&g3p	TALA2&mod&pi	TALA2&pi	TALA2&s7p
31	3.71532063734e-07	1.1695802381e-06	4.23810990531e-07	1.02823654997e-07	1.09683706083e-06	6.98329875046e-07	5.9871036703e-07	5.18687229827e-08
32	3.74491321497e-07	1.13625882311e-06	4.25558085838e-07	1.43129615876e-07	5.41347227039e-07	6.98878272238e-07	6.06418339489e-07	5.04091194302e-08
33	3.86277936647e-07	1.23843166085e-06	4.40356729161e-07	2.97451094484e-07	4.7271399871e-07	7.08123663417e-07	6.21799544789e-07	5.49205985831e-08
34	3.71253589712e-07	1.02892848737e-06	4.22018392825e-07	1.29401910331e-07	8.91733633536e-07	6.97852699146e-07	6.02089972767e-07	4.56198343808e-08
35	3.73182264407e-07	1.11853378875e-06	4.22560035134e-07	1.51179167387e-07	7.2353923494e-07	6.93314678021e-07	6.05417900042e-07	4.97198445077e-08
36	3.72577544718e-07	1.53328655196e-06	4.21181618711e-07	5.941599136e-08	4.58036454619e-07	6.98033452359e-07	6.0202483616e-07	6.80145916494e-08
37	3.85621358636e-07	1.2061566742e-06	4.37750111824e-07	2.92089614616e-07	4.47192635326e-07	7.18163215647e-07	6.20599868265e-07	5.35330926102e-08
38	3.76449419457e-07	1.25117382684e-06	4.27160855816e-07	2.06633669737e-07	7.64900353912e-07	7.02983314166e-07	6.11819758667e-07	5.55316569746e-08
39	3.75942390434e-07	2.09469827574e-06	4.2817860726e-07	1.31253859159e-07	2.16145693166e-07	7.02190736148e-07	6.07246858185e-07	9.29988611981e-08
40	3.72047768342e-07	1.2085119307e-06	4.23180075502e-07	1.08624551298e-07	1.43557899493e-06	6.95149154098e-07	5.99951588644e-07	5.36776124291e-08
41	3.72814342766e-07	1.02092780379e-06	4.22499730711e-07	8.14653570049e-08	9.31060023033e-07	6.93235005275e-07	5.99229094135e-07	4.5264857679e-08
42	3.74464055467e-07	1.2026583675e-06	4.23420464247e-07	1.28769148838e-07	9.85895360297e-07	6.99778603406e-07	6.02855983234e-07	5.34573939985e-08
43	3.79264273008e-07	9.53041834407e-07	4.3060011915e-07	1.9664639385e-07	7.04983116428e-07	7.12947606968e-07	6.11327971104e-07	4.23363796775e-08
44	3.83467375492e-07	1.2294960221e-06	4.35278979548e-07	2.1508333683e-07	3.54753077037e-07	7.14244071369e-07	6.17439568384e-07	5.4523879886e-08
45	3.82881143149e-07	9.81235410637e-07	4.33984798158e-07	2.26405938548e-07	6.27784005454e-07	7.03476297771e-07	6.08712491701e-07	4.36181670327e-08
46	3.77373917762e-07	1.03317410281e-06	4.28427371626e-07	1.81216449615e-07	7.00672165684e-07	7.03896420688e-07	6.04994848125e-07	4.59096570285e-08
47	3.7336833039e-07	1.40514125977e-06	4.23641997833e-07	1.10464004705e-07	7.8996396495e-07	6.9549062088e-07	5.99918897008e-07	6.23815355382e-08
48	3.68791118298e-07	9.43654073704e-07	4.17528039472e-07	5.38362945488e-08	4.14931462724e-07	6.92597318945e-07	5.98178671822e-07	4.19455871745e-08
49	3.74240933092e-07	1.38598312226e-06	4.26530496978e-07	1.43097107145e-07	6.40627968166e-07	6.98591310702e-07	6.05893161052e-07	6.16034640876e-08
50	3.7523760072e-07	1.52041090499e-06	4.28435711729e-07	1.9358394278e-07	7.47886970591e-07	6.93446829436e-07	6.11111070524e-07	6.75659019786e-08
51	3.73736127171e-07	1.44134279401e-06	4.25111907565e-07	1.36971216433e-07	1.01284315258e-06	6.97034962016e-07	6.01991358758e-07	6.40162461341e-08
52	3.85130610863e-07	8.6534659784e-07	4.36161178093e-07	2.72651438923e-07	8.79425039494e-07	7.18505076234e-07	6.17008720069e-07	3.83736169374e-08
53	3.6975510803e-07	1.66824300517e-06	4.19238896962e-07	4.06865766576e-08	1.14425524411e-06	6.90600200112e-07	5.97331539126e-07	7.41484742986e-08
54	3.76460570511e-07	1.78128159522e-06	4.27813779011e-07	1.51515764094e-07	5.54485225204e-07	7.02017197594e-07	6.05077353766e-07	7.9162488101e-08
55	3.71194896711e-07	1.13569147386e-06	4.20508222801e-07	1.22251577811e-07	7.56421533912e-07	6.97665750423e-07	6.03199692648e-07	5.03801312149e-08
56	3.73227860628e-07	9.59108344137e-07	4.23389400936e-07	1.09323033077e-07	1.3972530264e-06	6.99907207787e-07	5.98808408171e-07	4.26360512087e-08
