,ssd,Km_2pg,kcat_f,Keq,dKd
50,5.09896256503e-09,0.00491401829346,99.9999009765,5.8520518767e-10,2.92725432439e-09
51,5.09896256506e-09,0.00491542132915,99.9999901993,4.95998874599e-09,1.67817713358e-09
52,5.09896256827e-09,0.0049139856282,99.9998370068,3.35728019994e-10,6.61629603846e-11
53,5.09896257468e-09,0.00491551412543,99.9969947284,1.64731940356e-08,2.92725432439e-09
54,5.0989625749e-09,0.00491392310005,99.9999995519,1.30193779114e-08,1.67800480428e-09
55,5.0989625753e-09,0.00491391889002,99.9991826217,2.19734314238e-09,2.92731176749e-09
56,5.09896258048e-09,0.00491556609798,99.9885132849,7.26266403044e-09,5.22958518462e-09
57,5.09896258104e-09,0.00491557075714,99.9615962231,1.117737459e-08,6.60250969492e-11
58,5.09896258158e-09,0.00491557482549,99.600900958,1.99270101597e-08,2.829348308e-09
59,5.09896258551e-09,0.0049155169003,99.999999697,2.25988870092e-07,2.92726581301e-09
60,5.09896258679e-09,0.00491397753266,99.9999955009,2.92092721237e-07,3.98048501656e-09
61,5.09896259e-09,0.0049156436719,99.9988095277,1.87757495272e-08,6.24567316956e-10
62,5.09896259642e-09,0.00491530888028,99.9999993096,4.46346432304e-07,2.92703604062e-09
63,5.09896259732e-09,0.00491570005652,99.7626641108,6.34171370951e-09,2.5990359505e-09
64,5.09896262865e-09,0.0049159097896,99.0611656703,8.64425208784e-09,2.5989785074e-09
65,5.09896263817e-09,0.00491596665816,98.8958096689,1.14073939761e-08,1.6394260196e-10
66,5.09896264069e-09,0.0049159814057,99.1693182043,1.25666122766e-09,3.61800757897e-09
67,5.09896264399e-09,0.00491600014686,98.7709735206,9.10471869167e-09,2.138698451e-09
68,5.09896265643e-09,0.00491605155016,99.999999697,8.78530988056e-08,8.81228019346e-08
69,5.09896266275e-09,0.00491610121429,99.9999996961,2.49733866641e-08,2.47038179256e-08
70,5.09896267094e-09,0.00491577250345,99.9999996494,5.53186458319e-07,5.22963113909e-09
71,5.09896267746e-09,0.00491326177704,99.1478922696,1.80652923577e-08,8.55063492368e-10
72,5.09896268232e-09,0.00491620162829,99.9768767125,1.64732282621e-08,6.24716669011e-10
73,5.09896268928e-09,0.00491623562637,97.4407979785,7.49341928692e-09,1.44733629958e-09
74,5.09896269205e-09,0.00491624874113,92.303128252,1.18678092402e-08,6.24463919379e-10
75,5.09896269496e-09,0.00491626220777,99.999999697,1.80655490567e-08,1.21375313207e-08
76,5.09896270451e-09,0.00491628569232,99.999999697,1.00958796022e-07,1.09899537865e-07
77,5.09896271197e-09,0.00491631095606,99.999999697,1.26287214469e-07,1.26017726532e-07
78,5.09896271779e-09,0.00491589648171,99.999999697,6.63480180665e-07,5.22982644563e-09
79,5.09896275808e-09,0.00491535722136,99.9999635542,9.7847400916e-07,3.73681828762e-08
80,5.09896276756e-09,0.00491657248109,99.9357669427,3.34927974885e-08,9.87067731788e-10
81,5.09896284124e-09,0.00491679053899,99.9999846234,2.69507678859e-07,4.76946596888e-09
82,5.09896292962e-09,0.00491706881097,99.999999697,3.01283519648e-07,1.67793587256e-09
83,5.09896654205e-09,0.00491314917732,99.999999697,3.04276080247e-06,3.0423396758e-06
84,5.09896694796e-09,0.00492162680011,99.9999990093,2.33907153548e-06,1.90452476844e-08
85,0.00200077510507,4.16342443093,99.9999996645,1.91199972935,0.0112406024531
86,0.017851382502,16.594710489,99.925856166,2.21234730437,0.0124434808518
87,0.224134140173,30.0531792336,99.9998722387,23.1738785531,0.401528377441
88,0.528656064656,48.9710654398,99.999999697,35.8253513695,0.452450046094
89,0.613766005993,63.4149177436,99.9872323909,18.9466264887,0.210187323839
90,1.02651634893,75.9089351353,99.9048599069,20.9446962193,0.176635878508
91,2.95673536189,99.998612613,99.999999697,0.00556018510821,0.000122016985631
92,2.95686483027,99.9993159438,99.9999996963,0.00217936232524,1.18543333776e-05
93,2.9569903207,99.9999975855,99.9999993758,0.00218429780897,3.5332537504e-05
94,2.95699075863,99.9999999514,99.999999683,0.0040153000043,2.15818556248e-07
95,2.95699076348,99.9999999946,99.9999986247,0.00076796869197,0.000768118089402
96,2.95699076459,99.9999999983,99.999999697,0.001273629637,0.00127367541871
97,2.95699076494,99.9999999973,99.999999697,0.00241221165349,9.18106764049e-07
98,2.95699369111,99.9999999986,99.999999697,0.11884989268,2.30883100632e-07
99,2.95700886311,99.9999999986,99.9999996377,0.295794340294,8.68735639031e-08
100,143.579301536,499900.0,99.9999998485,0.00021064151923,2.06479420596e-06
101,5.0989625312e-09,0.00491471304399,99.9999992644,1.27601632964e-09,2.92721985853e-09
102,5.09896253135e-09,0.00491467242533,99.9999991937,1.25664411439e-09,6.24670714533e-10
103,5.09896253195e-09,0.00491482460357,99.9999994566,4.25023322039e-09,3.98074925481e-09
104,5.09896253224e-09,0.00491484213114,99.9999994662,7.96263076883e-10,6.2473964625e-10
105,5.09896253268e-09,0.00491457337199,99.99999882,1.24909716482e-10,2.69699940999e-09
106,5.09896253269e-09,0.00491486646973,99.9999994931,3.55237141351e-10,6.24716669011e-10
107,5.09896253373e-09,0.00491452768758,99.9999985827,1.48697153926e-09,1.08518054333e-09
108,5.09896253376e-09,0.00491491217339,99.9999995381,6.09216808878e-09,3.98051948242e-09
109,5.0989625344e-09,0.0049145043618,99.9705880266,2.8685424834e-09,1.67792438394e-09
110,5.0989625348e-09,0.00491449082829,99.9999980439,3.34832996268e-09,3.38775266457e-09
