ssd,Km_2pg,kcat_f,Keq,dKd
1.4096243739625748e-21,493892.25000758865,4.300635268781193e-10,1.947557935945145e-9,1.678004804281529e-9
1.4135867025305537e-21,7926.40470764686,4.51939630500309e-10,1.947506596152099e-9,1.6779243839441978e-9
1.4211437153310646e-21,44290.73823317471,4.903864519843464e-10,1.947575049209494e-9,1.6780852246188605e-9
1.4279123046004226e-21,392587.88576218416,5.225632721152524e-10,1.947557935945145e-9,1.6780392701403854e-9
1.4411418630327545e-21,418554.64069004974,5.821799608053301e-10,1.9474039165660066e-9,1.6777980091283907e-9
1.4859294989942356e-21,327217.40425599064,7.427367811694487e-10,1.9478488614390738e-9,1.6782575539131427e-9
1.520060404334268e-21,164856.9140866428,8.471047432535809e-10,1.9475237094164478e-9,1.6779473611834353e-9
1.5467904762830365e-21,5079.979629512481,5.6309435229085274e-11,2.6574674809243415e-9,6.244754079990607e-10
1.5501706973879123e-21,331669.8665884733,1.365620074934806e-10,2.6576215003034804e-9,6.245443397167734e-10
1.5615893676310329e-21,1585.8382152009628,2.710397562953982e-10,2.657672840096527e-9,6.246822031521989e-10
1.5657553739094381e-21,369397.74650047394,9.680434231995605e-10,1.9476948420599353e-9,1.6782115994346672e-9
1.628312920906791e-21,14374.635292781895,1.1143549382915917e-9,1.947232783922519e-9,1.6776946115518215e-9
1.7007829862971163e-21,89850.81362176321,8.620046091064896e-10,2.6578610860043626e-9,6.247626234895304e-10
1.7901259110980113e-21,98825.56279740798,1.0835733657145422e-9,2.6577755196826193e-9,6.247856007287681e-10
1.821254713510439e-21,3515.5251827722577,1.103726941492465e-9,2.1780393801941105e-9,1.6782230880542863e-9
1.8782320801711506e-21,344254.4656380318,6.619674505517734e-10,2.4079903132482642e-9,1.678131179097336e-9
2.030269253441471e-21,108925.74630521414,9.353326194369318e-11,2.638283511589393e-9,1.6779358725638162e-9
2.097201907575208e-21,315191.1321611059,5.754621022126892e-10,2.6383519646467877e-9,1.6781196904777171e-9
2.2061190959748678e-21,48894.18109303759,9.269783593922373e-10,2.6380268126241617e-9,1.6779128953245789e-9
2.2436032383355033e-21,14882.045478089938,1.0198570607551092e-9,2.637992586095464e-9,1.6778094977480097e-9
2.6471112025606475e-21,313463.3232049755,5.684169633296375e-10,1.9668445848661864e-9,2.927036040616982e-9
2.694749934897265e-21,157027.32030442645,7.413759841724779e-10,1.967015717509674e-9,2.9273577219663083e-9
3.2846195886289394e-21,80412.56917565063,4.496486684674341e-10,2.6574845941886906e-9,2.9269556202796507e-9
3.2939262829487314e-21,32354.834711958414,4.976555194871528e-10,2.657364801338249e-9,2.9269556202796507e-9
3.3853920466450724e-21,340690.02340721805,8.290871020025488e-10,2.657570160510434e-9,2.927162415432789e-9
3.3938195121849275e-21,327606.27506815974,8.509115297894106e-10,2.6578610860043626e-9,2.927369210585927e-9
3.483545325466617e-21,326744.2983603649,1.0768210565650158e-9,2.657724179889573e-9,2.9272428357701203e-9
3.972401110442721e-21,217223.45283289585,9.247046226378051e-10,3.1183790296292256e-9,2.9272428357701203e-9
6.086631705264626e-21,17.59941135178787,9.077204980933333e-10,3.5592338325173743e-9,3.980485016562119e-9
7.27346298757519e-21,498245.48341654806,1.3720278785154787e-9,4.960365237806932e-9,2.927369210585927e-9
0.004165894362417109,289882.9984846788,4.3818817161539325,0.04018994852890265,0.01280788654979004
