ssd,Km_2pg,kcat_f,Keq,dKd
5.098962594573179e-9,0.004915640796862054,1.2921084431361646e-7,5.930136279269027e-8,6.279445115791511e-8
5.098962594818985e-9,0.0049156421615608814,1.2800963952141695e-7,6.25251253041791e-8,6.509705774501151e-8
5.098962595301098e-9,0.004915605647407093,2.2071986043584096e-7,5.40151096618901e-9,1.6779128953245789e-9
5.098962595775446e-9,0.004915625388871958,1.981714369707554e-7,3.559268059046072e-9,6.247970893483868e-10
5.098962596304875e-9,0.004915553959871006,2.8808346307800314e-7,5.1710637484687415e-9,1.6778209863676286e-9
5.098962596636701e-9,0.004915641360471001,1.31277653798117e-7,9.266907943211262e-8,8.917594071784157e-8
5.098962596682835e-9,0.004915643514157302,1.4608002457504027e-7,7.770217781124718e-8,7.305785544884146e-8
5.098962596891913e-9,0.004915578775049672,2.6828314331038255e-7,4.019375284326564e-9,6.248660210660995e-10
5.0989625969976515e-9,0.004915666840834805,1.2806152206008625e-7,3.926886647153745e-8,4.207118718058106e-8
5.098962597232838e-9,0.004915668074846613,1.2803813013196114e-7,4.134112876479194e-8,4.437358697252432e-8
5.098962597631251e-9,0.0049156661786312235,1.2799367168830059e-7,5.607770296078753e-8,6.049207434321108e-8
5.098962598119208e-9,0.004915673083047498,1.2805874879025697e-7,4.709751749378098e-8,5.12813378020958e-8
5.098962598285089e-9,0.00491550698266481,3.431528332867222e-7,6.322769325875268e-9,1.6782230880542863e-9
5.098962599014014e-9,0.00491552357911667,3.3556444357214565e-7,8.16455017488079e-9,3.980703300334876e-9
5.0989625990237105e-9,0.0049156776203658275,1.2805461472343074e-7,5.400537221447565e-8,5.8189306915440034e-8
5.0989625994095654e-9,0.004915678546016985,1.3070079644835048e-7,5.6768462762960484e-8,6.049189052529719e-8
5.0989625996727925e-9,0.004915503508379606,3.5531474113116873e-7,8.394706467107129e-9,3.980404596224787e-9
5.098962600806701e-9,0.004915638750877687,1.2801578894582097e-7,1.3827986497233157e-7,1.410823628247762e-7
5.098962600867427e-9,0.004915641074675309,1.2805995455974797e-7,1.3643808412332605e-7,1.3877977921491907e-7
5.0989626020764636e-9,0.004915592657025211,2.97660597315178e-7,1.9447222680425573e-8,2.9272428357701203e-9
5.098962602826479e-9,0.004915553456963828,3.3867588006780186e-7,1.0236726901813532e-8,6.2828848085053775e-9
5.098962605815864e-9,0.004915640644653622,1.2803251469118881e-7,1.7443064333973373e-7,1.7792394184350275e-7
5.098962605993745e-9,0.0049155912786112265,3.2931778247130394e-7,1.27699349703016e-8,8.585985406245381e-9
5.098962607120069e-9,0.0049155763120269395,3.501167722071951e-7,8.855429769904177e-9,3.980507993801356e-9
5.098962609353927e-9,0.004915604466968425,3.4227045117321803e-7,8.158748778266564e-10,5.229849422866517e-9
