ssd,Km_2pg,kcat_f,Keq,dKd
5.0989627434374604e-9,0.004916345258660195,3.8198412298560003e-7,3.0959948798610605e-8,2.680005607953612e9
5.098962745540999e-9,0.004916342228274465,3.8742429654975597e-7,1.0095876179591146e-7,6.156344536028418e14
5.098962758003593e-9,0.004916086763639017,6.834699723350985e-7,8.023560835217179e-8,149.72027707813987
5.098962767960877e-9,0.004916192673494555,6.493441808495184e-7,1.668382409318247e-8,2453.4895791109443
5.098962769180921e-9,0.004916403807651046,4.5254556412008684e-7,4.3393899049953195e-8,3.650991488379751e14
5.098962783110025e-9,0.004916256382650778,6.566922262539844e-7,5.420729162052656e-9,22989.566173751107
5.098962791148708e-9,0.004916247045217066,6.915806324920568e-7,3.579552411278645e-8,78.88344850962554
5.09896279884876e-9,0.00491634305904438,6.450894509477869e-7,1.3460420960244965e-8,105680.18321153372
5.098962809826924e-9,0.004916505284149691,5.330276115438953e-7,4.13218078893422e-8,1.198838295685863e9
5.098962815124665e-9,0.004916317104979094,7.216935886610758e-7,4.155230644685551e-8,4.484516142504549
5.098962834990697e-9,0.004912786008543337,1.1247245559140786e-9,4.739772008831318e-7,1.8174803976468204e16
5.098962872139432e-9,0.004916523811159044,7.493970556562559e-7,5.1702662703500906e-8,1098.261312303118
5.098962873951014e-9,0.004916630444922821,6.640766858970781e-7,2.497336955086653e-8,3.0989659101265137e10
5.098962874269735e-9,0.004916650614213863,6.395752431368843e-7,9.17484371499429e-8,1.1031840293588029e17
5.098962879475524e-9,0.004916553778886563,7.498666684224383e-7,3.3213046956238333e-8,2251.9025959655705
5.09896288106874e-9,0.004916605922763344,7.118445534036834e-7,9.315999053322084e-9,1.5140360587821258e13
5.09896288178243e-9,0.0049164797850698464,8.102631110170587e-7,7.87615231009635e-8,98.36535814121483
5.098962881899002e-9,0.00491661756395049,7.042796245183457e-7,1.3460198487808431e-8,2.8294736495138467e12
5.098962884521682e-9,0.004916607250978768,7.217045611634437e-7,2.9578566100379506e-8,2.81677518611705e11
5.098962884539019e-9,0.00491659089645307,7.286504479921088e-7,1.0650440067444564e-7,1.3141614936955982e10
5.098962889162245e-9,0.004916628964417649,7.184913404974698e-7,2.2670471793983937e-8,1.9207703315313976e10
5.098962890352765e-9,0.004916612922738488,7.366381885621002e-7,1.2539196827087403e-8,4.57447413486842e14
5.098962890657132e-9,0.004916518545920929,8.091308762397437e-7,7.102497566744495e-8,4.537340967223604e7
5.098962891888964e-9,0.004916599737945604,7.518503142626177e-7,3.6486215461902e-8,4.778372825510818e9
5.098962891946618e-9,0.004916602417415748,7.435224605697757e-7,1.0397129528554366e-7,4.589254905420056e15
5.098962896973931e-9,0.004916579771712076,7.69000852222124e-7,1.5693077323608112e-7,1.1196335311970806e6
5.098962897738787e-9,0.0049166272690100545,7.483237657817716e-7,1.7604911320225242e-8,2.2745216212088666e11
5.098962897767852e-9,0.00491663465908114,7.420669417666487e-7,2.1519519200208756e-8,6.211539771677711e11
5.098962897991695e-9,0.0049165932992077145,7.771891983848588e-7,5.6315303523005584e-9,8.598432818593181e11
5.098962899276391e-9,0.004916698606653421,6.874250857435982e-7,5.720948869849212e-8,9.361181443865054e16
5.098962899552964e-9,0.004916589819162686,7.796451785852145e-7,8.990639960197214e-8,7.740871242410859e9
5.098962900317101e-9,0.004916600092168006,7.789998507536383e-7,4.019871568992678e-9,2.519401386093436e12
5.098962900617728e-9,0.004916631644578972,7.538844129433555e-7,1.6453496668312646e-8,1.2599621342063925e14
5.0989629014309534e-9,0.0049166274783559415,7.601287314063292e-7,6.552720258929423e-9,1.7737926952242926e11
5.098962903027897e-9,0.004916630762892213,7.622127489439939e-7,1.9009653624292387e-8,5.741510582558584e14
5.098962903292995e-9,0.004916600437960736,7.868262938162927e-7,3.971008065297693e-8,1.7137068523114199e10
5.098962903324085e-9,0.004916579259575627,7.693287009467233e-7,2.352187038594573e-7,1.8457958732036892e7
5.09896290542521e-9,0.004916626845358056,7.72915038369044e-7,2.174991507813598e-8,1.384440036879291e17
5.0989629122167426e-9,0.004916620239219351,7.98019555352794e-7,4.546612711667898e-8,136893.8871162841
5.098962917125786e-9,0.0049165856438865676,8.401025814402435e-7,2.1777484547001815e-9,6.534856859755631e11
5.098962917408587e-9,0.004916636617583944,7.909386567916954e-7,1.3296457063193158e-7,6.958398413764789e10
5.098962921081889e-9,0.004916664088271887,7.907893997539897e-7,2.0598277953786848e-8,6.625708608225653e10
5.098962921163953e-9,0.004916633367443987,8.156620989404584e-7,1.3460557866359756e-8,1.5445099754853744e17
5.098962921359523e-9,0.004916564731130991,8.671342109003243e-7,5.650971020600738e-9,3.3864745842192944e11
5.09896292197115e-9,0.004916587373432978,8.5265703615512e-7,8.394449768141896e-9,1.0482726440093582e17
5.09896293001886e-9,0.004916505256163722,9.038591591006755e-7,2.1988578374070082e-7,2.3123474782342233e11
