ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
5.487738171121074e-7,0.0022126717286779997,0.04381297008275193,0.02602254028418668,9.938319609393229e-6,6.519735937784172e20,4.768514251633443e-8,4.483087012729925e-7
5.487738533941056e-7,0.0022126800331998316,0.04381522179146627,0.02601911180426386,0.000010686828700917391,2.5991627398797686e26,1.752130664787373e-8,1.7085616255130276e-7
5.487740128017716e-7,0.002212574404758002,0.04370594606706101,0.026119682815753782,9.598983572842955e-6,1.5937892562982582e19,1.399950181012347e-6,1.3990548608511233e-6
5.487740806772436e-7,0.002189340264873498,0.0437188281654024,0.026060469786840706,0.000043884881570159166,85219.74022062644,9.428647461292146e-6,8.910079474233612e-6
5.487743406205611e-7,0.0022067955308327516,0.04385140216980884,0.02599977069818375,6.7182565659882736e-6,77702.14315778496,5.394740433353451e-7,4.496989891578096e-7
5.487746222926773e-7,0.002212452460669663,0.04384877478004709,0.0259664542379447,5.23937330005687e-6,1.6785108767266083e6,9.629194786914892e-7,9.58800816519556e-7
5.487748265795242e-7,0.002212527303356447,0.043665839626513124,0.026156521184746723,7.44665513464687e-6,9.017991978181248e17,1.5265921945387055e-6,1.5210922743591482e-6
5.487749405843422e-7,0.002212408349136299,0.04385715928759627,0.025953648922694285,0.000015094681113671177,76.88350139440955,1.9189528111323724e-6,1.9093078229559524e-6
5.487750278269317e-7,0.0022084677872175255,0.04364916920109782,0.02615531557960876,1.975057867171085e-6,1.913357734157463e25,2.4455540381645957e-6,2.2945302213805974e-6
5.487750835521155e-7,0.0022127231390453306,0.043874527642285444,0.025960531038853343,9.904637126388181e-6,1.5641062890822343e21,3.548153187238035e-8,5.065277086657716e-8
5.48775464717462e-7,0.0022126826561860544,0.0438868051814553,0.02594824168970941,0.00001080147262909896,3.822888602058654e14,6.655842624458933e-9,7.206679697446816e-8
5.487755909104039e-7,0.002212727747461723,0.043890790336528554,0.025944365648920473,9.970533920214118e-6,2.6972166097105546e24,2.3004124445671214e-8,4.734156289210034e-7
5.487757827183814e-7,0.002212583717030695,0.043637960057102784,0.0261887055482846,0.000012805703175136339,6.788931912891103e15,2.6801874585099573e-6,2.6769896743772392e-6
5.487762475677545e-7,0.002097642469562671,0.043736812661989824,0.02605854802772978,0.00009242062222921361,6.720219466227806e12,0.000013329182004845159,5.411531356358523e-6
5.487779108649064e-7,0.0022129133238724913,0.043592688574678816,0.026244441267816138,0.00001190384564121013,1.1665230859047127e11,6.951632485340545e-8,7.691109971119658e-8
5.487783926034929e-7,0.0022126354241381375,0.04395444469952502,0.0258763271730214,0.000011313059559794435,5.503385884484315e9,4.782253721607949e-7,4.83316930921518e-7
5.487788996333552e-7,0.0022125601852658098,0.04356642478509037,0.026257686177399216,8.755437184546865e-6,4.3533617023548225e14,1.5781701648230003e-6,1.5754328064332412e-6
5.487799492899301e-7,0.002212671426230769,0.043976107345343386,0.025856240873390487,0.00004565865493980289,2.3632903739500034e22,4.99543651232885e-6,5.001449276953451e-6
5.487809451543181e-7,0.0022125576888601907,0.04353176470016563,0.02629222970482417,8.620211442168728e-6,6.882900159898408e28,1.4598172454969743e-6,1.458922205266333e-6
5.487853904651933e-7,0.002213393990871268,0.04406310426544008,0.025773624598069478,9.296992771654532e-6,5.9753380302096305e13,6.306913026665689e-8,2.6756500348668055e-7
