ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
5.487748952451252e-7,0.002212614012289666,0.04386213685807685,0.025961115450458865,0.000010864605348052097,6.906878338683726e-7,3.54158446327569e-6,4.180347368265558e-6
5.487754866513861e-7,0.0022124855977429954,0.04387975095215869,0.025937589803230778,5.604795417829296e-6,1.6395831103812045e-6,6.037161984286634e-7,2.2298275559329284e-6
5.487766757235055e-7,0.00221243619042412,0.04390929256388343,0.025903058050957398,1.9460656025289812e-6,2.2479261077936585e-6,5.99571576882242e-7,2.8487624814665935e-6
5.487774757316429e-7,0.002212694041995402,0.04360191794768456,0.026234805588650375,0.000012297780396672908,5.984966504691597e-6,9.369001651077764e-7,5.06176875969544e-6
5.487784080288383e-7,0.0022126991774093423,0.04358307369725452,0.026254705733489002,0.000010602438558282246,2.2499439749845986e-6,5.06352159965558e-8,2.2597528515078125e-6
5.487797734894696e-7,0.002212270659375568,0.043966899197020466,0.02583914909654642,4.785143690907119e-7,0.000011184949991759174,9.511849125420772e-8,0.000012240315760969622
5.487803571392728e-7,0.002212470638072003,0.04398222796933093,0.025833486717221004,5.875308475885924e-6,2.0984885289631372e-6,1.1754480688095349e-6,3.272207571569652e-6
5.487873617961328e-7,0.0022126815931258243,0.04408581412466779,0.02574957985634114,0.000011042688101239417,2.871411466513922e-6,1.1994305824837338e-7,2.750433747422676e-6
5.487891806749349e-7,0.0022083190486686805,0.04408619153741753,0.0257088845722538,7.311138748474462e-6,1.0003315039631866e-6,2.5542793857975047e-6,3.5323911351525794e-6
5.487928745224344e-7,0.002211858542459575,0.043361959420607034,0.02640625867209457,0.000011903136752872382,7.188582681427353e-6,4.879393676843113e-7,6.669441987572355e-6
5.487982088409861e-7,0.002212674642998381,0.04419186902216585,0.025642643026871356,0.000010739446426682593,2.9851597717824214e-6,1.006013090520052e-7,2.8830623222120266e-6
5.488358033459601e-7,0.0022126451557862538,0.044441951542827575,0.025394506198250535,0.000010862498090400143,4.662362371791292e-6,3.5987240320393217e-7,4.687368204692177e-6
5.488404866036959e-7,0.002212713837584543,0.0430747713987991,0.02676513099617009,0.000012138637785809088,3.1419651664099358e-6,9.427708313511878e-10,3.2719696063665538e-6
5.488486862579864e-7,0.0022124306074454998,0.04449541472914057,0.025314883488713608,2.324804903147101e-6,4.212261611293588e-6,4.040820636585638e-7,4.623825344829413e-6
5.488649055584399e-7,0.0022125774785615115,0.044578582029239415,0.02524658965456361,8.407231814205138e-6,6.110671211905305e-8,8.556189165764783e-7,7.99001220741502e-7
5.48883807286695e-7,0.0022124189918003496,0.04464619019114683,0.025153573554794802,5.699478800688124e-6,3.7425340358733304e-6,9.788145647986959e-8,3.6866730890317e-6
5.488881704429595e-7,0.0022124989950937156,0.044674759241033334,0.025147117977701375,7.146033305392603e-6,2.220701167202642e-6,6.670372879099039e-7,1.621245826477491e-6
5.488944166671544e-7,0.002212620131707428,0.04470306150464132,0.02512649998415905,8.843417370867225e-6,2.1824779569616513e-6,6.150066347635834e-8,2.440044832852095e-6
5.489176083221794e-7,0.0022126331632754404,0.04478939996608787,0.02504107725939037,9.255462312317669e-6,4.493812586060097e-6,5.6434877056185594e-8,4.551976751088205e-6
5.489215340214471e-7,0.002214849541699307,0.04481075626380918,0.025034860545925602,4.188116074839121e-6,4.433769882704146e-6,3.032288450228117e-7,2.852677005726889e-6
5.489382529693838e-7,0.0022126076574946244,0.044858982389775696,0.024968946886928,9.04496500251936e-6,1.2962126087326754e-6,6.336498299326506e-7,6.622193238214891e-7
5.489608270080522e-7,0.002208306808191795,0.04257627612185557,0.02720450684644903,8.48206587819216e-6,4.590576051049034e-6,7.041087932685092e-7,5.203386133079135e-6
5.489782848896344e-7,0.0022103982800352365,0.04252488157375985,0.027259443006605162,8.712856521836316e-6,2.72778460340713e-6,1.2037697899974522e-6,4.0129495060270415e-6
5.492146211954797e-7,0.002212616264057112,0.04555522681418837,0.024273530690266436,8.669243769289286e-6,2.8879899700789625e-6,1.199863197944099e-7,3.0055603117418173e-6
5.493453930725248e-7,0.0022124836803314534,0.04579663122320856,0.02401876413922189,4.293994493309583e-6,2.3365754881571575e-6,3.709337601400118e-8,2.3042013075347256e-6
5.494856979720767e-7,0.002212538098245494,0.04603560807811627,0.023785310950432327,4.367472481182848e-6,5.58749089277885e-7,1.9754022631109512e-7,7.57094431591554e-7
5.503233704899651e-7,0.0022099856451115382,0.04039432569483531,0.029398592454255686,1.930670177627228e-6,8.390476944008089e-6,2.3651937890709264e-6,6.414077002858676e-6
5.50443553952825e-7,0.002212533550604657,0.04724331517886944,0.02257709506398853,6.1402754827620596e-6,9.976220685339753e-7,1.1602860797920094e-7,1.1149160816792403e-6
5.505895391356965e-7,0.0022124544475303778,0.047388290828705104,0.022424115918815452,7.169986422162928e-6,2.5304528875427068e-6,4.90659286430896e-7,3.045173124771594e-6
5.521606938855019e-7,0.0022119744382959774,0.03878578477876786,0.03099860120301997,7.489475791120259e-6,2.859207524134152e-6,2.4497335998200914e-7,2.6567184674419764e-6
5.534750446367816e-7,0.002208645876113032,0.03790639976040711,0.03188581216661927,4.235448423161816e-6,5.526061712452301e-6,5.968085123949066e-7,4.905883721484372e-6
5.583918945953477e-7,0.0021923071448161757,0.03679008112156103,0.03517787033819342,2.428919669706483e-6,0.0015361880334537191,5.410858378461291e-7,0.0004913185202237713
6.722374507354923e-7,0.0022900775638285166,0.05139733955299215,0.00026866201455946396,0.00002550997932296502,0.007927235590312255,4.996825530557062e-7,0.017093035707083093
7.754708834424288e-7,0.0024287979656992258,0.0186987733009686,0.004420861231999304,9.216418201089961e-6,0.026904715562860355,1.4158731431061967e-7,0.002178468380187315
2.223226388576579e-6,0.0024253329470204617,0.14151311147468612,0.09305787577193408,0.0002627889726985773,0.011729085665434087,5.590892749858355e-7,0.007161631458640905
2.85074588509907,99.38832475474196,0.6930520354199975,0.7250398786737615,2.529205390877746,1.9213422903141688,0.013103732773041273,1.831225668306602
3.0558391557177003,99.48924500831059,4.327010608853115,4.310254428210545,14.725022919449538,0.06708034720109589,19.988960625191147,19.572987557600243
